Job Number,Operation Number,Machine Number,Operation Time,Start Time
0,163,445,5,2424
0,164,157,18,2429
0,165,231,3,2447
0,166,110,15,2450
0,167,296,8,2465
0,168,492,25,2473
0,169,491,19,2498
0,170,105,16,2517
0,171,451,12,2533
0,172,43,2,2545
0,173,224,24,2547
0,174,276,7,2571
0,175,246,16,2578
0,176,183,27,2594
0,177,68,27,2621
0,178,187,25,2648
0,179,166,9,2673
0,180,289,26,2682
0,181,54,25,2708
0,182,359,16,2733
0,183,113,24,2749
0,184,263,8,2773
0,185,204,21,2781
0,186,88,2,2802
0,187,19,5,2804
0,188,402,2,2809
0,189,255,10,2811
0,190,156,28,2821
0,191,244,11,2849
0,192,103,7,2860
0,193,273,30,2867
0,194,270,3,2897
0,195,337,3,2900
0,196,396,7,2903
0,197,460,2,2910
0,198,326,1,2912
0,199,494,3,2913
0,200,14,13,2916
0,201,152,22,2929
0,202,149,21,2951
0,203,23,24,2972
0,204,182,15,2996
0,205,243,10,3011
0,206,438,13,3021
0,207,314,5,3034
0,208,358,6,3039
0,209,284,20,3045
0,210,122,10,3065
0,211,138,8,3075
0,212,222,29,3083
0,213,229,19,3112
0,214,351,21,3131
0,215,333,5,3152
0,216,24,7,3157
0,217,0,19,3164
0,218,389,8,3183
0,219,16,23,3191
0,220,369,8,3214
0,221,165,20,3222
0,222,237,8,3242
0,223,167,6,3250
0,224,464,21,3256
0,225,172,26,3277
0,226,325,23,3303
0,227,370,6,3326
0,228,102,21,3332
0,229,490,25,3353
0,230,9,11,3378
0,231,455,23,3389
0,232,480,28,3412
0,233,56,5,3440
0,234,41,14,3445
0,235,347,25,3459
0,236,5,28,3484
0,237,248,26,3512
0,238,304,12,3538
0,239,279,20,3550
0,240,22,23,3570
0,241,242,10,3593
0,242,432,10,3603
0,243,79,28,3613
0,244,254,20,3641
0,245,306,18,3661
0,246,478,18,3679
0,247,240,30,3697
0,248,290,16,3727
0,249,364,24,3743
0,250,4,22,3767
0,251,356,6,3789
0,252,239,13,3795
0,253,98,2,3808
0,254,133,7,3810
0,255,312,1,3817
0,256,37,11,3818
0,257,439,10,3829
0,258,111,17,3839
0,259,81,2,3856
0,260,447,27,3858
0,261,427,8,3885
0,262,186,7,3893
0,263,391,29,3900
0,264,498,5,3929
0,265,261,12,3934
0,266,269,7,3946
0,267,148,2,3953
0,268,230,16,3955
0,269,145,20,3971
0,270,251,14,3991
0,271,446,26,4005
0,272,322,14,4031
0,273,315,13,4045
0,274,336,17,4058
0,275,221,3,4075
0,276,293,19,4078
0,277,375,4,4097
0,278,489,11,4101
0,279,420,8,4112
0,280,128,10,4120
0,281,203,4,4130
0,282,2,4,4134
0,283,84,26,4138
0,284,330,2,4164
0,285,212,7,4166
0,286,134,19,4173
0,287,215,19,4192
0,288,395,29,4211
0,289,319,28,4240
0,290,470,1,4268
0,291,479,1,4269
0,292,373,15,4270
0,293,493,19,4285
0,294,42,11,4304
0,295,419,6,4315
0,296,435,17,4321
0,297,115,12,4338
0,298,431,2,4350
0,299,249,20,4352
0,300,234,10,4372
0,301,388,22,4382
0,302,477,30,4404
0,303,77,2,4434
0,304,310,3,4436
0,305,190,1,4439
0,306,7,17,4440
0,307,433,22,4457
0,308,176,10,4479
0,309,192,28,4489
0,310,257,30,4517
0,311,28,6,4547
0,312,185,5,4553
0,313,406,28,4558
0,314,374,22,4586
0,315,87,9,4608
0,316,288,6,4617
0,317,415,5,4623
0,318,64,1,4628
0,319,220,28,4629
0,320,457,28,4657
0,321,482,3,4685
0,322,303,29,4688
0,323,448,18,4717
0,324,137,12,4735
0,325,382,20,4747
0,326,32,3,4767
0,327,401,22,4770
0,328,36,5,4792
0,329,104,29,4797
0,330,383,13,4826
0,331,47,14,4839
0,332,309,13,4853
0,333,488,8,4866
0,334,252,30,4874
0,335,285,5,4904
0,336,20,1,4909
0,337,121,2,4910
0,338,449,6,4912
0,339,471,5,4918
0,340,178,13,4923
0,341,327,30,4936
0,342,25,21,4966
0,343,352,25,4987
0,344,124,13,5012
0,345,116,6,5025
0,346,265,20,5031
0,347,129,24,5051
0,348,66,24,5075
0,349,283,21,5099
0,350,125,27,5120
0,351,1,19,5147
0,352,349,13,5166
0,353,381,13,5179
0,354,150,14,5192
0,355,169,12,5206
0,356,387,13,5218
0,357,69,25,5231
0,358,268,6,5256
0,359,313,30,5262
0,360,411,23,5292
0,361,61,20,5315
0,362,159,30,5335
0,363,99,20,5365
0,364,474,9,5385
0,365,34,12,5394
0,366,31,18,5406
0,367,390,28,5424
0,368,197,7,5452
0,369,409,1,5459
0,370,86,1,5460
0,371,365,9,5461
0,372,361,19,5470
0,373,440,6,5489
0,374,468,9,5495
0,375,39,26,5504
0,376,467,20,5530
0,377,241,19,5550
0,378,485,6,5569
0,379,397,22,5575
0,380,27,2,5597
0,381,380,9,5599
0,382,18,16,5608
0,383,346,29,5624
0,384,63,10,5653
0,385,130,2,5663
0,386,262,28,5665
0,387,75,29,5693
0,388,452,29,5722
0,389,198,14,5751
0,390,62,4,5765
0,391,195,16,5769
0,392,386,14,5785
0,393,476,15,5799
0,394,353,7,5814
0,395,339,9,5821
0,396,403,8,5830
0,397,496,15,5838
0,398,217,11,5853
0,399,227,16,5864
0,400,170,29,5880
0,401,379,20,5909
0,402,413,24,5929
0,403,49,6,5953
0,404,459,1,5959
0,405,146,12,5960
0,406,30,25,5972
0,407,422,18,5997
0,408,329,18,6015
0,409,143,30,6033
0,410,499,10,6063
0,411,355,26,6073
0,412,206,6,6099
0,413,58,14,6105
0,414,223,23,6119
0,415,362,27,6142
0,416,173,15,6169
0,417,164,6,6184
0,418,372,17,6190
0,419,35,3,6207
0,420,444,14,6210
0,421,434,27,6224
0,422,324,13,6251
0,423,154,12,6264
0,424,207,15,6276
0,425,299,7,6291
0,426,497,8,6298
0,427,50,3,6306
0,428,343,1,6309
0,429,344,23,6310
0,430,180,16,6333
0,431,354,25,6349
0,432,300,30,6374
0,433,114,27,6404
0,434,302,19,6431
0,435,213,28,6450
0,436,305,7,6478
0,437,259,4,6485
0,438,472,29,6489
0,439,101,16,6518
0,440,462,1,6534
0,441,163,23,6535
0,442,308,4,6558
0,443,487,11,6562
0,444,466,28,6573
0,445,320,14,6601
0,446,484,9,6615
0,447,91,14,6624
0,448,225,25,6638
0,449,44,11,6663
0,450,429,8,6674
0,451,414,29,6682
0,452,267,10,6711
0,453,141,20,6721
0,454,253,28,6741
0,455,416,1,6769
0,456,83,10,6770
0,457,155,12,6780
0,458,363,18,6792
0,459,458,14,6810
0,460,228,19,6824
0,461,15,30,6843
0,462,92,23,6873
0,463,376,4,6896
0,464,82,15,6900
0,465,171,4,6915
0,466,481,1,6919
0,467,331,6,6920
0,468,209,25,6926
0,469,123,13,6951
0,470,291,25,6964
0,471,219,21,6989
0,472,59,29,7010
0,473,55,26,7039
0,474,226,11,7065
0,475,398,9,7076
0,476,211,8,7085
0,477,425,29,7093
0,478,437,14,7122
0,479,307,4,7136
0,480,126,3,7140
0,481,456,5,7143
0,482,465,19,7148
0,483,371,19,7167
0,484,181,30,7186
0,485,107,29,7216
0,486,73,30,7245
0,487,135,2,7275
0,488,368,29,7277
0,489,45,20,7306
0,490,106,18,7326
0,491,57,23,7344
0,492,33,12,7367
0,493,463,16,7379
0,494,144,4,7395
0,495,443,26,7399
0,496,338,12,7425
0,497,424,5,7437
0,498,275,1,7442
0,499,469,11,7443
1,0,446,6,4031
1,1,440,7,5495
1,2,179,18,5502
1,3,309,28,5520
1,4,1,27,5548
1,5,210,12,5575
1,6,307,29,7140
1,7,11,24,7169
1,8,453,20,7193
1,9,461,19,7213
1,10,360,5,7232
1,11,398,23,7237
1,12,209,15,7260
1,13,481,24,7275
1,14,38,2,7299
1,15,496,19,7301
1,16,449,10,7320
1,17,301,17,7330
1,18,263,2,7347
1,19,68,9,7349
1,20,69,3,7358
1,21,430,3,7361
1,22,246,29,7364
1,23,396,6,7393
1,24,144,19,7399
1,25,183,16,7418
1,26,329,18,7434
1,27,247,16,7452
1,28,350,15,7468
1,29,35,20,7483
1,30,230,22,7503
1,31,428,6,7525
1,32,378,2,7531
1,33,415,16,7533
1,34,60,16,7549
1,35,375,4,7565
1,36,339,2,7569
1,37,41,5,7571
1,38,3,13,7576
1,39,196,13,7589
1,40,25,3,7602
1,41,374,14,7605
1,42,139,17,7619
1,43,276,8,7636
1,44,248,10,7644
1,45,384,17,7654
1,46,136,5,7671
1,47,477,10,7676
1,48,454,21,7686
1,49,128,8,7707
1,50,217,5,7715
1,51,358,21,7720
1,52,393,11,7741
1,53,316,11,7752
1,54,251,26,7763
1,55,138,22,7789
1,56,14,24,7811
1,57,90,6,7835
1,58,291,27,7841
1,59,420,23,7868
1,60,174,8,7891
1,61,493,8,7899
1,62,433,17,7907
1,63,405,19,7924
1,64,233,4,7943
1,65,269,25,7947
1,66,423,10,7972
1,67,207,29,7982
1,68,197,29,8011
1,69,124,20,8040
1,70,326,26,8060
1,71,206,19,8086
1,72,427,17,8105
1,73,371,15,8122
1,74,59,15,8137
1,75,460,1,8152
1,76,172,3,8153
1,77,29,30,8156
1,78,180,29,8186
1,79,422,28,8215
1,80,75,9,8243
1,81,102,5,8252
1,82,126,12,8257
1,83,334,1,8269
1,84,153,18,8270
1,85,49,19,8288
1,86,408,28,8307
1,87,67,9,8335
1,88,245,16,8344
1,89,106,6,8360
1,90,231,20,8366
1,91,137,21,8386
1,92,159,24,8407
1,93,54,15,8431
1,94,268,23,8446
1,95,331,22,8469
1,96,84,19,8491
1,97,412,21,8510
1,98,456,20,8531
1,99,495,1,8551
1,100,348,21,8552
1,101,332,13,8573
1,102,386,28,8586
1,103,160,16,8614
1,104,483,18,8630
1,105,52,22,8648
1,106,411,16,8670
1,107,314,3,8686
1,108,426,23,8689
1,109,232,19,8712
1,110,435,24,8731
1,111,480,18,8755
1,112,71,9,8773
1,113,270,23,8782
1,114,83,22,8805
1,115,89,26,8827
1,116,213,6,8853
1,117,414,7,8859
1,118,239,18,8866
1,119,418,25,8884
1,120,406,21,8909
1,121,250,4,8930
1,122,212,17,8934
1,123,114,11,8951
1,124,55,29,8962
1,125,478,2,8991
1,126,227,16,8993
1,127,97,5,9009
1,128,24,15,9014
1,129,401,2,9029
1,130,198,11,9031
1,131,315,14,9042
1,132,23,10,9056
1,133,32,2,9066
1,134,372,14,9068
1,135,117,23,9082
1,136,62,21,9105
1,137,141,4,9126
1,138,363,18,9130
1,139,424,2,9148
1,140,129,22,9150
1,141,86,10,9172
1,142,308,10,9182
1,143,105,12,9192
1,144,442,12,9204
1,145,444,17,9216
1,146,195,9,9233
1,147,219,14,9242
1,148,224,30,9256
1,149,234,6,9286
1,150,285,15,9292
1,151,240,10,9307
1,152,199,14,9317
1,153,353,25,9331
1,154,223,7,9356
1,155,94,11,9363
1,156,311,3,9374
1,157,166,20,9377
1,158,367,26,9397
1,159,267,10,9423
1,160,328,19,9433
1,161,48,22,9452
1,162,61,18,9474
1,163,111,5,9492
1,164,266,12,9497
1,165,463,5,9509
1,166,112,6,9514
1,167,300,2,9520
1,168,7,12,9522
1,169,79,4,9534
1,170,186,5,9538
1,171,202,22,9543
1,172,147,23,9565
1,173,294,5,9588
1,174,395,9,9593
1,175,187,30,9602
1,176,349,1,9632
1,177,273,15,9633
1,178,168,29,9648
1,179,479,5,9677
1,180,95,13,9682
1,181,486,15,9695
1,182,286,17,9710
1,183,74,1,9727
1,184,275,8,9728
1,185,27,18,9736
1,186,115,3,9754
1,187,146,9,9757
1,188,220,21,9766
1,189,53,26,9787
1,190,135,25,9813
1,191,429,23,9838
1,192,425,8,9861
1,193,365,27,9869
1,194,443,15,9896
1,195,357,27,9911
1,196,116,2,9938
1,197,437,9,9940
1,198,107,25,9949
1,199,485,19,9974
1,200,416,24,9993
1,201,364,20,10017
1,202,162,17,10037
1,203,40,30,10054
1,204,272,24,10084
1,205,2,22,10108
1,206,347,29,10130
1,207,475,15,10159
1,208,494,13,10174
1,209,373,1,10187
1,210,77,30,10188
1,211,319,16,10218
1,212,457,5,10234
1,213,288,4,10239
1,214,100,3,10243
1,215,336,1,10246
1,216,201,30,10247
1,217,101,21,10277
1,218,452,9,10298
1,219,242,2,10307
1,220,65,24,10309
1,221,157,8,10333
1,222,392,25,10341
1,223,377,19,10366
1,224,474,3,10385
1,225,182,5,10388
1,226,235,11,10393
1,227,226,20,10404
1,228,394,18,10424
1,229,343,7,10442
1,230,155,25,10449
1,231,260,8,10474
1,232,120,5,10482
1,233,487,10,10487
1,234,228,20,10497
1,235,161,2,10517
1,236,312,2,10519
1,237,44,13,10521
1,238,280,15,10534
1,239,255,22,10549
1,240,345,2,10571
1,241,152,18,10573
1,242,42,20,10591
1,243,455,17,10611
1,244,5,8,10628
1,245,150,2,10636
1,246,490,25,10638
1,247,142,6,10663
1,248,403,11,10669
1,249,381,13,10680
1,250,447,13,10693
1,251,131,4,10706
1,252,173,13,10710
1,253,368,16,10723
1,254,33,2,10739
1,255,64,25,10741
1,256,376,11,10766
1,257,296,16,10777
1,258,355,17,10793
1,259,361,16,10810
1,260,283,5,10826
1,261,18,14,10831
1,262,123,1,10845
1,263,110,14,10846
1,264,352,2,10860
1,265,204,17,10862
1,266,215,12,10879
1,267,21,26,10891
1,268,169,8,10917
1,269,389,20,10925
1,270,57,23,10945
1,271,163,19,10968
1,272,118,11,10987
1,273,132,25,10998
1,274,88,19,11023
1,275,466,4,11042
1,276,380,23,11046
1,277,125,14,11069
1,278,189,7,11083
1,279,465,28,11090
1,280,297,25,11118
1,281,470,15,11143
1,282,16,26,11158
1,283,388,6,11184
1,284,140,14,11190
1,285,278,24,11204
1,286,471,11,11228
1,287,244,11,11239
1,288,177,15,11250
1,289,176,26,11265
1,290,467,22,11291
1,291,306,8,11313
1,292,181,2,11321
1,293,36,14,11323
1,294,113,22,11337
1,295,192,21,11359
1,296,321,18,11380
1,297,407,28,11398
1,298,362,17,11426
1,299,436,5,11443
1,300,318,6,11448
1,301,279,16,11454
1,302,445,24,11470
1,303,262,24,11494
1,304,72,10,11518
1,305,354,19,11528
1,306,98,17,11547
1,307,451,22,11564
1,308,12,16,11586
1,309,282,23,11602
1,310,6,13,11625
1,311,143,18,11638
1,312,497,9,11656
1,313,170,3,11665
1,314,81,21,11668
1,315,302,26,11689
1,316,134,2,11715
1,317,413,30,11717
1,318,222,30,11747
1,319,154,29,11777
1,320,281,24,11806
1,321,324,29,11830
1,322,458,9,11859
1,323,305,18,11868
1,324,254,15,11886
1,325,290,7,11901
1,326,178,12,11908
1,327,289,29,11920
1,328,277,24,11949
1,329,335,16,11973
1,330,9,7,11989
1,331,34,23,11996
1,332,0,1,12019
1,333,167,18,12020
1,334,130,20,12038
1,335,499,1,12058
1,336,185,15,12059
1,337,264,8,12074
1,338,43,22,12082
1,339,391,27,12104
1,340,165,16,12131
1,341,259,1,12147
1,342,439,2,12148
1,343,73,8,12150
1,344,351,8,12158
1,345,171,14,12166
1,346,469,16,12180
1,347,99,18,12196
1,348,158,20,12214
1,349,145,9,12234
1,350,292,21,12243
1,351,382,7,12264
1,352,338,14,12271
1,353,261,15,12285
1,354,46,4,12300
1,355,66,26,12304
1,356,417,6,12330
1,357,304,20,12336
1,358,359,30,12356
1,359,8,16,12386
1,360,310,1,12402
1,361,218,3,12403
1,362,252,24,12406
1,363,229,30,12430
1,364,190,9,12460
1,365,370,21,12469
1,366,91,2,12490
1,367,488,30,12492
1,368,265,24,12522
1,369,498,12,12546
1,370,438,22,12558
1,371,30,20,12580
1,372,87,19,12600
1,373,441,6,12619
1,374,432,18,12625
1,375,341,26,12643
1,376,287,5,12669
1,377,257,6,12674
1,378,298,4,12680
1,379,468,17,12684
1,380,47,15,12701
1,381,4,30,12716
1,382,103,28,12746
1,383,399,4,12774
1,384,464,30,12778
1,385,421,7,12808
1,386,317,10,12815
1,387,56,9,12825
1,388,221,14,12834
1,389,241,14,12848
1,390,303,12,12862
1,391,492,18,12874
1,392,491,5,12892
1,393,22,7,12897
1,394,323,17,12904
1,395,243,29,12921
1,396,194,23,12950
1,397,299,9,12973
1,398,31,4,12982
1,399,58,8,12986
1,400,191,7,12994
1,401,256,25,13001
1,402,214,14,13026
1,403,149,21,13040
1,404,216,5,13061
1,405,208,25,13066
1,406,322,2,13091
1,407,459,16,13093
1,408,238,15,13109
1,409,397,16,13124
1,410,20,19,13140
1,411,484,19,13159
1,412,333,14,13178
1,413,17,14,13192
1,414,236,1,13206
1,415,342,28,13207
1,416,325,12,13235
1,417,237,22,13247
1,418,366,17,13269
1,419,63,5,13286
1,420,28,9,13291
1,421,448,29,13300
1,422,320,29,13329
1,423,211,6,13358
1,424,37,23,13364
1,425,472,28,13387
1,426,109,30,13415
1,427,39,25,13445
1,428,249,7,13470
1,429,253,22,13477
1,430,419,15,13499
1,431,462,12,13514
1,432,51,3,13526
1,433,489,16,13529
1,434,13,4,13545
1,435,148,2,13549
1,436,284,6,13551
1,437,26,23,13557
1,438,434,26,13580
1,439,402,7,13606
1,440,50,7,13613
1,441,164,7,13620
1,442,188,1,13627
1,443,10,30,13628
1,444,122,3,13658
1,445,92,29,13661
1,446,274,18,13690
1,447,78,27,13708
1,448,127,22,13735
1,449,104,23,13757
1,450,387,11,13780
1,451,293,21,13791
1,452,200,14,13812
1,453,184,4,13826
1,454,383,13,13830
1,455,404,17,13843
1,456,431,5,13860
1,457,15,19,13865
1,458,356,23,13884
1,459,108,2,13907
1,460,313,12,13909
1,461,225,13,13921
1,462,151,27,13934
1,463,295,10,13961
1,464,156,19,13971
1,465,80,9,13990
1,466,271,2,13999
1,467,203,22,14001
1,468,379,16,14023
1,469,330,22,14039
1,470,76,13,14061
1,471,476,6,14074
1,472,340,26,14080
1,473,369,21,14106
1,474,400,2,14127
1,475,193,3,14129
1,476,133,23,14132
1,477,205,3,14155
1,478,327,11,14158
1,479,175,26,14169
1,480,119,13,14195
1,481,450,16,14208
1,482,45,24,14224
1,483,473,1,14248
1,484,82,8,14249
1,485,409,28,14257
1,486,346,1,14285
1,487,344,18,14286
1,488,121,25,14304
1,489,390,2,14329
1,490,385,16,14331
1,491,19,20,14347
1,492,482,11,14367
1,493,85,5,14378
1,494,70,3,14383
1,495,93,12,14386
1,496,337,12,14398
1,497,258,10,14410
1,498,410,2,14420
1,499,96,5,14422
2,0,320,2,13358
2,1,325,26,13247
2,2,465,24,13273
2,3,185,1,13297
2,4,329,7,13298
2,5,289,21,13305
2,6,228,3,13326
2,7,209,17,13329
2,8,372,14,13346
2,9,1,28,13360
2,10,411,5,13388
2,11,407,18,13393
2,12,49,13,13411
2,13,163,19,13424
2,14,256,6,13443
2,15,155,26,13449
2,16,113,18,13475
2,17,168,25,13493
2,18,245,20,13518
2,19,357,11,13538
2,20,455,15,13549
2,21,90,26,13564
2,22,364,17,13590
2,23,75,29,13607
2,24,255,2,13636
2,25,103,2,13638
2,26,131,5,13640
2,27,373,20,13645
2,28,93,20,14398
2,29,322,12,14418
2,30,393,27,14430
2,31,137,1,14457
2,32,436,4,14458
2,33,294,21,14462
2,34,404,4,14483
2,35,285,5,14487
2,36,438,19,14492
2,37,474,30,14511
2,38,37,24,14541
2,39,315,24,14565
2,40,272,24,14589
2,41,45,7,14613
2,42,50,14,14620
2,43,125,6,14634
2,44,247,18,14640
2,45,169,20,14658
2,46,98,7,14678
2,47,491,23,14685
2,48,441,8,14708
2,49,286,6,14716
2,50,257,9,14722
2,51,54,21,14731
2,52,199,7,14752
2,53,460,10,14759
2,54,304,7,14769
2,55,469,8,14776
2,56,29,24,14784
2,57,130,26,14808
2,58,412,2,14834
2,59,463,26,14836
2,60,219,24,14862
2,61,42,20,14886
2,62,59,27,14906
2,63,44,6,14933
2,64,234,10,14939
2,65,80,28,14949
2,66,443,13,14977
2,67,353,8,14990
2,68,188,3,14998
2,69,19,9,15001
2,70,385,9,15010
2,71,224,24,15019
2,72,217,17,15043
2,73,423,24,15060
2,74,124,29,15084
2,75,64,24,15113
2,76,221,3,15137
2,77,467,22,15140
2,78,302,29,15162
2,79,381,19,15191
2,80,401,29,15210
2,81,390,8,15239
2,82,208,1,15247
2,83,181,13,15248
2,84,138,24,15261
2,85,340,24,15285
2,86,190,29,15309
2,87,104,28,15338
2,88,101,19,15366
2,89,53,14,15385
2,90,367,27,15399
2,91,391,3,15426
2,92,444,23,15429
2,93,84,4,15452
2,94,143,28,15456
2,95,8,26,15484
2,96,420,5,15510
2,97,458,4,15515
2,98,123,28,15519
2,99,287,25,15547
2,100,429,27,15572
2,101,110,21,15599
2,102,147,26,15620
2,103,21,7,15646
2,104,415,5,15653
2,105,432,1,15658
2,106,252,6,15659
2,107,483,1,15665
2,108,227,27,15666
2,109,154,10,15693
2,110,159,13,15703
2,111,153,7,15716
2,112,40,15,15723
2,113,220,12,15738
2,114,112,29,15750
2,115,490,5,15779
2,116,421,22,15784
2,117,330,1,15806
2,118,212,3,15807
2,119,223,12,15810
2,120,46,12,15822
2,121,397,3,15834
2,122,354,15,15837
2,123,380,17,15852
2,124,69,12,15869
2,125,157,15,15881
2,126,446,2,15896
2,127,262,26,15898
2,128,24,19,15924
2,129,409,8,15943
2,130,288,11,15951
2,131,206,16,15962
2,132,358,23,15978
2,133,311,7,16001
2,134,398,17,16008
2,135,435,17,16025
2,136,359,1,16042
2,137,440,14,16043
2,138,33,22,16057
2,139,31,28,16079
2,140,439,8,16107
2,141,344,29,16115
2,142,280,6,16144
2,143,403,14,16150
2,144,261,28,16164
2,145,454,22,16192
2,146,203,30,16214
2,147,9,6,16244
2,148,350,8,16250
2,149,498,8,16258
2,150,348,13,16266
2,151,161,3,16279
2,152,189,25,16282
2,153,308,21,16307
2,154,425,16,16328
2,155,22,19,16344
2,156,13,19,16363
2,157,55,6,16382
2,158,489,14,16388
2,159,365,8,16402
2,160,260,22,16410
2,161,231,5,16432
2,162,61,14,16437
2,163,484,30,16451
2,164,368,8,16481
2,165,28,1,16489
2,166,52,14,16490
2,167,51,16,16504
2,168,473,5,16520
2,169,68,29,16525
2,170,323,8,16554
2,171,5,11,16562
2,172,198,30,16573
2,173,229,4,16603
2,174,258,8,16607
2,175,275,26,16615
2,176,333,25,16641
2,177,7,8,16666
2,178,259,26,16674
2,179,2,26,16700
2,180,370,23,16726
2,181,246,17,16749
2,182,142,23,16766
2,183,205,23,16789
2,184,102,16,16812
2,185,477,13,16828
2,186,451,25,16841
2,187,58,25,16866
2,188,266,10,16891
2,189,264,7,16901
2,190,378,26,16908
2,191,254,9,16934
2,192,72,1,16943
2,193,492,19,16944
2,194,276,6,16963
2,195,324,7,16969
2,196,235,30,16976
2,197,236,10,17006
2,198,449,27,17016
2,199,422,8,17043
2,200,405,17,17051
2,201,479,14,17068
2,202,141,30,17082
2,203,85,29,17112
2,204,116,27,17141
2,205,341,12,17168
2,206,374,6,17180
2,207,452,22,17186
2,208,114,28,17208
2,209,186,9,17236
2,210,464,21,17245
2,211,388,10,17266
2,212,120,4,17276
2,213,194,3,17280
2,214,107,23,17283
2,215,428,6,17306
2,216,379,9,17312
2,217,195,8,17321
2,218,450,23,17329
2,219,462,21,17352
2,220,94,16,17373
2,221,293,29,17389
2,222,392,21,17418
2,223,496,1,17439
2,224,207,6,17440
2,225,326,27,17446
2,226,151,6,17473
2,227,108,23,17479
2,228,66,10,17502
2,229,4,17,17512
2,230,369,22,17529
2,231,176,13,17551
2,232,18,8,17564
2,233,193,6,17572
2,234,366,4,17578
2,235,406,22,17582
2,236,81,25,17604
2,237,343,22,17629
2,238,213,18,17651
2,239,306,4,17669
2,240,448,3,17673
2,241,466,26,17676
2,242,470,1,17702
2,243,129,8,17703
2,244,191,29,17711
2,245,36,30,17740
2,246,88,7,17770
2,247,437,11,17777
2,248,216,9,17788
2,249,3,27,17797
2,250,162,24,17824
2,251,408,13,17848
2,252,485,29,17861
2,253,214,28,17890
2,254,230,26,17918
2,255,494,9,17944
2,256,11,16,17953
2,257,192,10,17969
2,258,201,19,17979
2,259,457,30,17998
2,260,274,8,18028
2,261,499,15,18036
2,262,248,11,18051
2,263,253,23,18062
2,264,327,19,18085
2,265,204,5,18104
2,266,418,19,18109
2,267,291,22,18128
2,268,134,21,18150
2,269,77,21,18171
2,270,296,11,18192
2,271,140,10,18203
2,272,78,3,18213
